status,duration_sec,is_complete,source_file,respondent_id,region,researcher_id,start_time,end_time,start_date,start_hour
Completed successfully,1761.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,741.0,,ALBERT AVENDANO,2025-06-15 02:10:00,2025-06-15 02:39:21,2025-06-15,2.0
Completed successfully,1954.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,742.0,,ALBERT AVENDANO,2025-06-15 02:55:00,2025-06-15 03:27:34,2025-06-15,2.0
Completed successfully,1601.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,743.0,,ALBERT AVENDANO,2025-06-15 05:14:00,2025-06-15 05:40:41,2025-06-15,5.0
Completed successfully,1945.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,744.0,,ALBERT AVENDANO,2025-06-15 06:05:00,2025-06-15 06:37:25,2025-06-15,6.0
Completed successfully,2669.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,745.0,,ALBERT AVENDANO,2025-06-15 06:45:00,2025-06-15 07:29:29,2025-06-15,6.0
Completed successfully,1894.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,746.0,,ALBERT AVENDANO,2025-06-16 08:33:00,2025-06-16 09:04:34,2025-06-16,8.0
Completed successfully,2651.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,748.0,,0,2025-06-16 00:11:00,2025-06-16 00:55:11,2025-06-16,0.0
Completed successfully,3228.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,749.0,,0,2025-06-16 02:06:00,2025-06-16 02:59:48,2025-06-16,2.0
Completed successfully,3387.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,750.0,,Antonia Milegrito,2025-06-17 05:13:00,2025-06-17 06:09:27,2025-06-17,5.0
Completed successfully,1588.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,751.0,,ALBERT AVENDANO,2025-06-16 00:13:00,2025-06-16 00:39:28,2025-06-16,0.0
Completed successfully,2288.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,752.0,,ALBERT AVENDANO,2025-06-16 00:58:00,2025-06-16 01:36:08,2025-06-16,0.0
Completed successfully,2659.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,753.0,,ALBERT AVENDANO,2025-06-16 01:49:00,2025-06-16 02:33:19,2025-06-16,1.0
Completed successfully,2287.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,754.0,,ALBERT AVENDANO,2025-06-16 03:03:00,2025-06-16 03:41:07,2025-06-16,3.0
Completed successfully,2284.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,755.0,,ALBERT AVENDANO,2025-06-16 04:07:00,2025-06-16 04:45:04,2025-06-16,4.0
